Job Title,Organization,City,Area / Town,Vacancy Location,Category / Sector,Job Type,Education,Min Experience (Years),Gender,No. of Positions,Positions Open Ended,Salary Min (PKR),Salary Max (PKR),Salary Avg (PKR),Date Posted,Expected Last Date,Days Available,Posting Month,Posting Year,Posting Weekday,Newspaper,Apply Online,Job Link,Description
Jang Sunday Classified Ads 7 June 2026 for IT Staff,Private Company,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Intermediate|Bachelor,,Not Specified,,False,,,,2026-06-08,2026-06-23,15.0,June,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-7-june-2026-for-it-staff_jobs-759196.html,"Latest Private Company IT Posts Islamabad 2026Private Company invites applications for job positions advertised in daily Jang dated 8 June 2026 for following vacancies in Islamabad, islamabad Islamabad Pakistan.it professional and it officerEducational qualifications required Intermediate and Bachelor etc.Apply at Private Company latest Classifieds jobs in IT and departments before closing date which is around June 23, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Karachi Port Trust Jobs 2026 for IT Consultant,Karachi Port Trust,Karachi,Port Qasim Jobs,"Karachi, Sindh, Pakistan",Government,Full Time,Master,,Not Specified,,False,,,,2026-06-05,2026-06-22,17.0,June,2026,Friday,Express Jobs,Upload CV,https://www.jobz.pk/karachi-port-trust-jobs-2026-for-it-consultant_jobs-758743.html,"Latest Karachi Port Trust IT Posts Karachi 2026Karachi Port Trust Port Qasim Karachi, karachi Sindh Pakistan invites applications from eligible candidates for the post of it consultant as per advertisement of June 5, 2026 published in daily Express Newspaper. Candidates with Master etc. educational background will be preferred.Karachi Port Trust latest Government IT jobs and others can be applied till June 22, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Karachi Port Trust job opportunities.For more jobsregisterwithJobz.pk."
Karachi Port Trust Karachi Job Notice 2026,Karachi Port Trust,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-06-05,2026-06-20,15.0,June,2026,Friday,Jang Jobs,Upload CV,https://www.jobz.pk/karachi-port-trust-karachi-job-notice-2026_jobs-758602.html,"Latest Karachi Port Trust IT Posts Karachi 2026Karachi Port Trust jobs advertisement dated about 5 June 2026 in daily Jang Newspaper invites application for the vacant post of it consultant in Karachi, karachi Sindh Pakistan. Master, Bachelor and MS etc. educational qualification will be preferred.Karachi Port Trust latest Government IT jobs and others can be applied till 20 June 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Karachi Port Trust job opportunities.For more jobsregisterwithJobz.pk."
IT Consultant Jobs 2026 for Karachi Port Trust KPT,Karachi Port Trust,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Government,Full Time,Master|MCS|MIT|Others,,Not Specified,,False,,,,2026-06-04,2026-06-22,18.0,June,2026,Thursday,Jang Jobs,Upload CV,https://www.jobz.pk/it-consultant-jobs-2026-for-karachi-port-trust-kpt_jobs-758452.html,"Latest Karachi Port Trust IT Posts Karachi 2026Karachi Port Trust is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of June 4, 2026 for location Karachi, karachi Sindh Pakistan:it consultantEducational qualifications required Master, MIT, MCS and Others etc.Apply at Karachi Port Trust latest Government jobs in IT and departments before closing date which is around June 22, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Karachi Port Trust job opportunities.For more jobsregisterwithJobz.pk."
Vacant Post at College of Physicians and Surgeons Pakistan,College Of Physicians And Surgeons Pakistan,Lahore,Lahore Other Area Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,BCS,,Not Specified,,False,,,,2026-05-31,2026-06-15,15.0,May,2026,Sunday,Dawn Jobs,Upload CV,https://www.jobz.pk/vacant-post-at-college-of-physicians-and-surgeons-pakistan_jobs-757926.html,"Latest College of Physicians and Surgeons Pakistan IT Posts Lahore 2026College of Physicians and Surgeons Pakistan jobs advertisement dated about 31 May 2026 in daily Dawn Newspaper invites application for the vacant post of it officer in Lahore, lahore Punjab Pakistan. Preferred Education is BCS etc.Latest IT jobs and others Government jobs in College of Physicians and Surgeons Pakistan closing date is around June 15, 2026, see exact from ad. Read complete ad online to know how to apply onlatest College of Physicians and Surgeons Pakistan job opportunities.For more jobsregisterwithJobz.pk."
Job Opportunity at College of Physicians and Surgeons,College Of Physicians And Surgeons Pakistan,Lahore,DHA Phase 2 Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,Bachelor|Master,,Not Specified,,False,,,,2026-05-31,2026-06-15,15.0,May,2026,Sunday,Dawn Jobs,Upload CV,https://www.jobz.pk/job-opportunity-at-college-of-physicians-and-surgeons_jobs-757922.html,"Latest College of Physicians and Surgeons Pakistan IT Posts Lahore 2026College of Physicians and Surgeons Pakistan DHA Phase 2 Lahore, lahore Punjab Pakistan invites applications from eligible candidates for the post of it officer as per advertisement of May 31, 2026 published in daily Dawn Newspaper. Preferred Education is Bachelor and Master etc.Latest IT jobs and others Government jobs in College of Physicians and Surgeons Pakistan closing date is around June 15, 2026, see exact from ad. Read complete ad online to know how to apply onlatest College of Physicians and Surgeons Pakistan job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 24 May 2026 for Computer Staff,It Company,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BA|BCS|Others,,Not Specified,,False,,,,2026-05-25,2026-06-10,16.0,May,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-24-may-2026-for-computer-staff_jobs-757427.html,"Latest IT Company IT Posts Islamabad 2026Vacant posts including autocad operator, graphic designer, wordpress developer and social media oficer are announced in IT Company Islamabad, islamabad Islamabad Pakistan as per 25 May 2026 advertisement in daily Jang Newspaper. Educational qualifications required BCS, Others, Intermediate, Bachelor and BA etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 10 June 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 24 May 2026 for IT Staff,It Company,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BA|BCS|Others,,Not Specified,,False,,,,2026-05-25,2026-06-10,16.0,May,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-24-may-2026-for-it-staff_jobs-757419.html,"Latest IT Company IT Posts Islamabad 2026Vacant posts including autocad operator, graphic designer, wordpress developer and social media oficer are announced in IT Company Islamabad, islamabad Islamabad Pakistan as per 25 May 2026 advertisement in daily Jang Newspaper. Educational qualifications required BCS, Others, Intermediate, Bachelor and BA etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 10 June 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 24 May 2026 for Computer Staff,It Company,Karachi,I.I. Chundrigar Road Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BA|Others|ICS,,Not Specified,,False,,,,2026-05-25,2026-06-10,16.0,May,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-24-may-2026-for-computer-staff_jobs-757333.html,"Latest IT Company IT Posts Karachi 2026IT Company is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of May 25, 2026 for location I.I. Chundrigar Road Karachi, karachi Sindh Pakistan:graphic designer and social media expertEducational qualifications required BA, Others, Intermediate and Bachelor etc.IT Company latest Classifieds IT jobs and others can be applied till June 10, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Allied IT Institute Lahore Job 2026,Allied It Institute,Lahore,Shanghai Road Jobs,"Lahore, Punjab, Pakistan",Private,Full Time,Bachelor|BS,,Not Specified,,False,,,,2026-05-24,2026-06-01,8.0,May,2026,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/allied-it-institute-lahore-job-2026_jobs-757138.html,"Latest Allied IT Institute IT Posts Lahore 2026Allied IT Institute is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of May 24, 2026 for location Shanghai Road Lahore, lahore Punjab Pakistan:graphic designerEducational qualifications required Bachelor etc.Latest IT jobs and others Private jobs in Allied IT Institute closing date is around June 1, 2026, see exact from ad. Read complete ad online to know how to apply onlatest Allied IT Institute job opportunities.For more jobsregisterwithJobz.pk."
AI Expert Jobs 2026 in Acme Global Network Karachi,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor,,Not Specified,,False,,,,2026-05-21,2026-06-06,16.0,May,2026,Thursday,Jang Jobs,Upload CV,https://www.jobz.pk/ai-expert-jobs-2026-in-acme-global-network-karachi_jobs-756791.html,"Latest IT Company IT Posts Karachi 2026IT Company invites applications for job positions advertised in daily Jang dated 21 May 2026 for following vacancies in Karachi, karachi Sindh Pakistan.ai expertbusiness development staff and website developerCandidates with Intermediate and Bachelor etc. educational background will be preferred.Latest Classifieds jobs in IT Company in IT and others can be applied till 6 June 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Acme Global Network Karachi Jobs 2026 for AI Expert,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BCS|BIT,,Not Specified,,False,,,,2026-05-21,2026-06-06,16.0,May,2026,Thursday,Dunya Jobs,Upload CV,https://www.jobz.pk/acme-global-network-karachi-jobs-2026-for-ai-expert_jobs-756729.html,"Latest IT Company IT Posts Karachi 2026Vacant posts including website developer, business development officer and ai expert are announced in IT Company Karachi, karachi Sindh Pakistan as per 21 May 2026 advertisement in daily Dunya Newspaper. Educational qualifications required Intermediate, Bachelor, BCS and BIT etc.IT Company latest Classifieds IT jobs and others can be applied till June 6, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Directorate General Public Relations Muzaffarabad Job 2026,Directorate General Public Relations,Muzaffarabad,Muzaffarabad Other Area Jobs,AJK,Government,Full Time,Bachelor|Master|MA|MS|BS,,Not Specified,,False,,,,2026-05-19,2026-05-20,1.0,May,2026,Tuesday,Ausaf Jobs,Upload CV,https://www.jobz.pk/directorate-general-public-relations-muzaffarabad-job-2026_jobs-756418.html,"Latest Directorate General Public Relations IT Posts Muzaffarabad 2026Directorate General Public Relations invites applications for job positions advertised in daily Ausaf dated 19 May 2026 for following vacancies in Muzaffarabad, muzaffarabad AJK Pakistan.information officerCandidates with MS, Bachelor, Master and MA etc. educational background will be preferred.Directorate General Public Relations latest Government IT jobs and others can be applied till 20 May 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Directorate General Public Relations job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 17 May 2026 for IT Staff,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Middle|Matric|Intermediate|Bachelor|BA|ICS,,Not Specified,,False,,,,2026-05-18,2026-06-02,15.0,May,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-17-may-2026-for-it-staff_jobs-756291.html,"Latest IT Company IT Posts Karachi 2026IT Company jobs advertisement dated about 18 May 2026 in daily Jang Newspaper invites application for the vacant post of computer operator, photostat operator, digital marketing expert and ai exert in Karachi, karachi Sindh Pakistan. Educational qualifications required Bachelor, Middle, Intermediate, BA and Matric etc.IT Company latest Classifieds IT jobs and others can be applied till June 2, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 17 May 2026 for IT Staff,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Bachelor|BCS|Others,,Not Specified,,False,,,,2026-05-18,2026-06-02,15.0,May,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-17-may-2026-for-it-staff_jobs-756262.html,"Latest IT Company IT Posts Karachi 2026IT Company Karachi, karachi Sindh Pakistan invites applications from eligible candidates for the post of network support officer and cctv operator as per advertisement of May 18, 2026 published in daily Jang Newspaper. Candidates with Bachelor, BCS and Others etc. educational background will be preferred.Apply at IT Company latest Classifieds jobs in IT and departments before closing date which is around June 2, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Job Opportunity at Power Information Technology Company PITC,Power Information Technology Company Pitc,Lahore,Egerton Road Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-05-18,2026-06-01,14.0,May,2026,Monday,The News Jobs,Upload CV,https://www.jobz.pk/job-opportunity-at-power-information-technology-company-pitc_jobs-756243.html,"Latest Power Information Technology Company PITC IT Posts Lahore 2026Power Information Technology Company PITC invites applications for job positions advertised in daily The News dated 18 May 2026 for following vacancies in Egerton Road Lahore, lahore Punjab Pakistan.director strategy business developmentCandidates with Master, Bachelor and MS etc. educational background will be preferred.Power Information Technology Company PITC latest Government IT jobs and others can be applied till 1 June 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Power Information Technology Company PITC job opportunities.For more jobsregisterwithJobz.pk."
Ministry of IT & Telecommunication MOIT Islamabad Jobs 2026,Ministry Of Information Technology & Telecommunication Moit,Islamabad,G-9/4 Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-05-18,2026-06-01,14.0,May,2026,Monday,The News Jobs,Upload CV,https://www.jobz.pk/ministry-of-it-telecommunication-moit-islamabad-jobs-2026_jobs-756237.html,"Latest Ministry of Information Technology & Telecommunication MOIT IT Posts Islamabad 2026Ministry of Information Technology & Telecommunication MOIT invites applications for job positions advertised in daily The News dated 18 May 2026 for following vacancies in G-9/4 Islamabad, islamabad Islamabad Pakistan.Project CoordinatorFinance Associate and Contracts Payments Vendor Management SpecialistCandidates with Master, Bachelor and MS etc. educational background will be preferred.Ministry of Information Technology & Telecommunication MOIT latest Government IT jobs and others can be applied till June 1, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information Technology & Telecommunication MOIT job opportunities.For more jobsregisterwithJobz.pk."
Post Announced at Power Information Technology Company PITC,Power Information Technology Company Pitc,Lahore,Egerton Road Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-05-18,2026-06-01,14.0,May,2026,Monday,Not Mentioned,Upload CV,https://www.jobz.pk/post-announced-at-power-information-technology-company-pitc_jobs-756153.html,"Latest Power Information Technology Company PITC IT Posts Lahore 2026Power Information Technology Company PITC is looking for candidates for following posts as per job advertisement published in daily Express Tribune Newspaper of May 18, 2026 for location Egerton Road Lahore, lahore Punjab Pakistan:assistant manager and assistant manager hr adminEducational qualifications required MS, Bachelor and Master etc.Latest IT jobs and others Government jobs in Power Information Technology Company PITC closing date is around June 1, 2026, see exact from ad. Read complete ad online to know how to apply onlatest Power Information Technology Company PITC job opportunities.For more jobsregisterwithJobz.pk."
Ministry of Information Technology & Telecommunication Jobs,Ministry Of Information Technology & Telecommunication Moit,Islamabad,G-9/4 Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-05-18,2026-06-01,14.0,May,2026,Monday,Not Mentioned,Upload CV,https://www.jobz.pk/ministry-of-information-technology-telecommunication-jobs_jobs-756138.html,"Latest Ministry of Information Technology & Telecommunication MOIT IT Posts Islamabad 2026Vacant posts including Contracts Payments Vendor Management Specialist, Project Coordinator and Finance Associate are announced in Ministry of Information Technology & Telecommunication MOIT G-9/4 Islamabad, islamabad Islamabad Pakistan as per 18 May 2026 advertisement in daily Express Tribune Newspaper. Candidates with Master, Bachelor and MS etc. educational background will be preferred.Ministry of Information Technology & Telecommunication MOIT latest Government IT jobs and others can be applied till June 1, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information Technology & Telecommunication MOIT job opportunities.For more jobsregisterwithJobz.pk."
IT Systems Engineer & ERP Administrator Jobs 2026,It Company,Multan,Multan Other Area Jobs,"Multan, Punjab, Pakistan",Private,Full Time,Bachelor|BCS|BS,,Not Specified,,False,,,,2026-05-16,2026-05-31,15.0,May,2026,Saturday,Jang Jobs,Upload CV,https://www.jobz.pk/it-systems-engineer-erp-administrator-jobs-2026_jobs-755548.html,"Latest IT Company IT Posts Multan 2026IT Company jobs advertisement dated about 16 May 2026 in daily Jang Newspaper invites application for the vacant post of it systems engineer and erp administrator in Multan, multan Punjab Pakistan. Preferred Education is Bachelor and BCS etc.IT Company latest Private IT jobs and others can be applied till 31 May 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
ERP Administrator & IT Systems Engineer Jobs 2026 in Multan,It Company,Multan,Multan Other Area Jobs,"Multan, Punjab, Pakistan",Private,Full Time,Bachelor|BCS|BIT|Others,,Not Specified,,False,,,,2026-05-14,2026-05-30,16.0,May,2026,Thursday,Jang Jobs,Upload CV,https://www.jobz.pk/erp-administrator-it-systems-engineer-jobs-2026-in-multan_jobs-755331.html,"Latest IT Company IT Posts Multan 2026IT Company Multan, multan Punjab Pakistan invites applications from eligible candidates for the post of it system engineer and erp administrator as per advertisement of May 14, 2026 published in daily Jang Newspaper. Educational qualifications required Others, BIT, BCS and Bachelor etc.IT Company latest Private IT jobs and others can be applied till 30 May 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
